Country Name,Lower secondary,Upper secondary,Tertiary,Lower sec. %,Upper sec. %,Tertiary %
India,64171856.0,53727224.0,28175136.0,0.2854238003086068,0.3755480919850223,0.18554950947876472
China,48361184.0,24822886.0,34091288.0,0.21510103938249492,0.17350956890796596,0.22451078021058346
Brazil,14867060.0,9139433.0,7541112.0,0.06612576024941645,0.06388375146601559,0.04966256888784588
Indonesia,12539705.0,5593270.0,6423455.0,0.05577414273087004,0.03909641556126305,0.04230215337412812
United States,12449044.0,11646415.0,19972624.0,0.05537090042539926,0.08140731283112158,0.1315312403888238
Mexico,6343647.0,,3300348.0,0.02821529479459489,,0.021734693756552664
Turkey,5566986.0,2725972.0,4975690.0,0.024760859345953932,0.019054280254728873,0.032767786420565805
Vietnam,4869839.0,2675320.0,2250030.0,0.021660086538108945,0.018700227680651615,0.01481774436909568
Germany,4598871.0,1352008.25,2780012.75,0.020454874142163553,0.00945040671811946,0.01830798623677315
"Egypt, Arab Rep.",4591081.0,1734545.0,2477581.0,0.02042022575355525,0.012124301549846695,0.016316298854561248
Japan,3597839.0,2835697.0,3862749.0,0.016002480593338576,0.01982124737726356,0.025438428484944632
Colombia,3549335.0,1011955.0,2109224.0,0.015786744336463467,0.007073467436633302,0.013890455704662368
France,3332338.0,1471910.0,2338135.0,0.014821584338666819,0.010288508337480346,0.015397966573972582
Argentina,2683346.0,1722700.0,2768211.0,0.01193499550430486,0.012041506147099614,0.018230264911009507
Thailand,2504349.0,1421159.0,2405109.0,0.011138852036304813,0.00993376376299178,0.015839028964863288
United Kingdom,2098507.0,2315417.0,2386199.0,0.009333746602470305,0.01618454056922212,0.01571449571596456
South Africa,2015405.0,2578092.0,1035594.0,0.008964125243018805,0.01802061337771425,0.006819983361185972
"Korea, Rep.",1816273.0,1566724.0,3342264.0,0.008078425253243638,0.010951249014226793,0.022010734775105754
Italy,1813862.0,1127893.0,1872693.0,0.008067701599208386,0.007883862827405018,0.012332762743516707
Peru,1789908.0,897584.0,,0.007961158916188708,0.006274025224089081,
Spain,1663474.0,1085786.0,1969413.0,0.007398805339128098,0.007589538975697859,0.01296971968870363
Morocco,1571227.0,930513.0,707832.0,0.006988508817440022,0.006504195744735649,0.004661481683473435
Ghana,1452603.0,842587.0,354818.0,0.006460892585056029,0.005889601520848797,0.002336681031610152
Kazakhstan,1186524.0,308062.0,781450.0,0.005277425500009996,0.002153323542513381,0.005146298643675782
Poland,1177480.0,814680.0,1902718.0,0.005237199565918405,0.00569453429379411,0.012530494673616348
Canada,1166114.0,1411914.0,,0.005186645832295559,0.009869142108420504,
Australia,1029941.0,536146.0,1390478.0,0.004580975097769446,0.0037476086113327157,0.009157099040835644
C̫te d'Ivoire,896152.0,319520.0,169351.0,0.003985907926586363,0.002233413852743524,0.0011152739415255452
Romania,817461.0,340285.0,618157.0,0.003635905828001516,0.002378559191539904,0.004070920123717052
Guatemala,764415.0,72584.0,293721.0,0.003399967648012295,0.0005073551298433148,0.0019343220729657613
Senegal,714262.5,247544.0,133587.0,0.0031768991872064022,0.0017303085840120896,0.0008797473887167658
Netherlands,568010.0,243634.0,793678.0,0.002526396818151742,0.001702978062716937,0.005226827071361325
Chile,513982.0,721910.0,1174011.0,0.002286090895208304,0.0050460809790751045,0.007731539083703946
Tunisia,475291.0,497093.0,337393.0,0.002114000933251456,0.0034746319238289827,0.002221927363600618
Togo,402742.0,131432.0,69027.0,0.0017913172432458388,0.0009186969500932237,0.000454582579150308
El Salvador,395784.0,101259.0,176063.0,0.0017603694270793982,0.0007077906025130086,0.0011594763300294185
Israel,391604.0,214250.0,373581.0,0.0017417776088017724,0.0014975867487177642,0.0024602462007844933
Hungary,388996.0,367975.0,359040.0,0.0017301777374936268,0.0025721096096122252,0.0023644853349866946
Portugal,363376.0,215929.0,371000.0,0.0016162250139833936,0.0015093227960974473,0.0024432488282087337
Czech Republic,363170.0,114463.0,427441.0,0.0016153087664797594,0.000800085283633519,0.002814945343337923
Rwanda,361522.0,139982.0,77120.0,0.0016079787864506857,0.0009784606219790434,0.0005078796486023114
Dominican Republic,345189.0,532496.0,450865.5,0.001535332813262058,0.003722095464855144,0.0029692091766974254
Belgium,344912.0,307657.0,488488.0,0.0015341007717159093,0.0021504926317398422,0.003216975023164496
Austria,336660.0,110288.53125,422778.21875,0.001497397497929553,0.0007709061513911087,0.0027842382413830542
Greece,323909.0,246080.0,659284.0,0.0014406835565759627,0.0017200753658084826,0.004341765122524978
Sweden,317822.0,274937.0,436603.0,0.001413609777184597,0.0019217830008504827,0.0028752823939148728
Paraguay,311766.0,221049.0,,0.001386673879699118,0.0015451111001974938,
Switzerland,267518.0,118990.0,279832.0,0.0011898674741612255,0.000831728575168853,0.0018428550029523083
Slovak Republic,255313.0,70935.0,209543.0,0.0011355820334726073,0.0004958287795579678,0.0013799614264402768
Costa Rica,247880.0,107360.0,205247.0,0.0011025215106837095,0.0007504360015978491,0.0013516697904133639
Denmark,244067.0,176524.0,291147.0,0.0010855620362596454,0.0012338856626868358,0.0019173707994244965
New Zealand,242595.0,166520.0,256608.265625,0.001079014869631735,0.0011639586716288546,0.001689913326945975
Lithuania,199344.0,66108.0,159695.0,0.0008866429240992956,0.00046208851707927164,0.0010516836162285546
Panama,193291.0,111834.0,124375.0,0.0008597203700240636,0.0007817088282665224,0.000819081059321998
Norway,190480.0,121294.0,255416.0,0.0008472175946225309,0.0008478333120138739,0.001682061570635477
Ireland,189543.0,,199428.0,0.0008430500028220201,,0.001313348321595718
Finland,181418.0,107412.0,309009.0,0.0008069116000694578,0.0007507994765613652,0.002035002364301759
Uruguay,139527.0,83671.0,145264.0,0.0006205886671823702,0.0005848521860068334,0.0009566471638299555
Latvia,54881.0,43621.0,94474.0,0.00024409989925703023,0.0003049065650679934,0.0006221657406905442
Slovenia,54565.0,31753.0,97706.0,0.00024269439337766904,0.00022195039454858887,0.0006434503234742925
Mauritius,51138.0,62734.0,41621.0,0.00022745177107206523,0.0004385045838695926,0.00027409827352796684
Cabo Verde,37557.0,22925.0,13068.0,0.0001670461528834439,0.0001602435295885869,8.606031182488338e-05
Estonia,36525.0,28776.0,64806.0,0.00016245601975844152,0.00020114145288729232,0.0004267848613501218
Luxembourg,21847.0,9797.0,34771.294065037,9.717116122279731e-05,6.848008110706155e-05,0.00022898901207467101
Iceland,12978.0,15191.0,19097.0,5.772359272895425e-05,0.00010618361866871204,0.0001257647516773644
Andorra,3079.0,842.0,538.0,1.3694786716940218e-05,5.885498447702952e-06,3.5430400797204816e-06
Monaco,1711.0,952.0,,7.610191644262655e-06,6.654387793602387e-06,
